episode,step,r,c,has_key,energy,action,reward,next_r,next_c,next_has_key,next_energy,event,q_before,max_next_q,td_target,td_error,q_after,alpha,gamma,epsilon
2500,36,9,4,1,24,3,-1.0,10,4,1,23,move,-0.30610725,-0.34390000000000004,-1.326705,-1.02059775,-0.408167025,0.1,0.95,0.01
2500,37,10,4,1,23,1,-1.0,11,4,1,22,move,-0.34390000000000004,-0.1,-1.095,-0.7510999999999999,-0.41901000000000005,0.1,0.95,0.01
2500,38,11,4,1,22,3,-1.0,11,5,1,21,move,-0.1,-0.1095,-1.104025,-1.004025,-0.2004025,0.1,0.95,0.01
2500,39,11,5,1,21,3,-1.0,11,6,1,20,move,-0.1095,-0.20804999999999998,-1.1976475,-1.0881475,-0.21831475,0.1,0.95,0.01
2500,40,11,6,1,20,0,-1.0,10,6,1,19,move,-0.20804999999999998,-0.3162952875,-1.300480523125,-1.092430523125,-0.3172930523125,0.1,0.95,0.01
2500,41,10,6,1,19,0,-1.0,9,6,1,18,move,-0.3162952875,-0.48249850000000005,-1.458373575,-1.1420782875,-0.43050311625000004,0.1,0.95,0.01
2500,42,9,6,1,18,0,-1.0,9,5,1,17,move,-0.48249850000000005,-0.44380500000000006,-1.42161475,-0.93911625,-0.576410125,0.1,0.95,0.01
2500,43,9,5,1,17,2,-1.0,9,4,1,16,move,-0.44380500000000006,-0.20895249999999999,-1.198504875,-0.754699875,-0.5192749875,0.1,0.95,0.01
2500,44,9,4,1,16,3,-1.0,9,5,1,15,move,-0.20895249999999999,-0.3087199875,-1.293283988125,-1.0843314881250001,-0.3173856488125,0.1,0.95,0.01
2500,45,9,5,1,15,3,-1.0,9,6,1,14,move,-0.3087199875,-0.37909750000000003,-1.360142625,-1.0514226375,-0.41386225125000003,0.1,0.95,0.01
2500,46,9,6,1,14,1,-1.0,10,6,1,13,move,-0.37909750000000003,-0.1995,-1.189525,-0.8104274999999999,-0.46014025000000003,0.1,0.95,0.01
2500,47,10,6,1,13,3,-1.0,11,6,1,12,move,-0.1995,-0.1995,-1.189525,-0.9900249999999999,-0.2985025,0.1,0.95,0.01
2500,48,11,6,1,12,1,-1.0,11,5,1,11,move,-0.1995,-0.2004025,-1.190382375,-0.990882375,-0.2985882375,0.1,0.95,0.01
2500,49,11,5,1,11,3,-1.0,11,6,1,10,move,-0.2004025,-0.2175025,-1.206627375,-1.006224875,-0.3010249875,0.1,0.95,0.01
2500,50,11,6,1,10,2,-1.0,10,6,1,9,move,-0.2175025,-0.3714025,-1.352832375,-1.135329875,-0.3310354875,0.1,0.95,0.01
2500,51,10,6,1,9,3,-1.0,10,7,1,8,move,-0.3714025,-0.2976,-1.2827199999999999,-0.9113174999999998,-0.46253425000000004,0.1,0.95,0.01
2500,52,10,7,1,8,0,-1.0,10,8,1,7,move,-0.2976,-0.28905000000000003,-1.2745975,-0.9769975000000001,-0.39529975,0.1,0.95,0.01
2500,53,10,8,1,7,1,-1.0,11,8,1,6,move,-0.28905000000000003,-0.1995,-1.189525,-0.9004749999999999,-0.37909750000000003,0.1,0.95,0.01
2500,54,11,8,1,6,2,-1.0,11,7,1,5,move,-0.1995,-0.2175025,-1.206627375,-1.007127375,-0.3002127375,0.1,0.95,0.01
2500,55,11,7,1,5,3,-1.0,11,8,1,4,move,-0.2175025,-0.1995,-1.189525,-0.9720225,-0.31470475,0.1,0.95,0.01
2500,56,11,8,1,4,2,-1.0,11,7,1,3,move,-0.1995,-0.20805,-1.1976475,-0.9981475,-0.29931475,0.1,0.95,0.01
2500,57,11,7,1,3,3,-1.0,11,8,1,2,move,-0.20805,-0.1995,-1.189525,-0.9814749999999999,-0.3061975,0.1,0.95,0.01
2500,58,11,8,1,2,1,-1.0,12,8,1,1,move,-0.1995,-0.1,-1.095,-0.8955,-0.28905000000000003,0.1,0.95,0.01
2500,59,12,8,1,1,3,-1.0,12,9,1,0,move,-0.1,0.0,-1.0,-0.9,-0.19,0.1,0.95,0.01
