timestamp,algorithm,variant_id,seed,status,runtime_seconds,error_message,output_files
2026-08-05 01:49:29,sarsa_lambda,sarsa_sparse_lambda0.7_seed8565,8565,success,15.128,,results/models/sarsa/sarsa_sparse_lambda0.7_seed8565.json
2026-08-05 01:49:44,sarsa_lambda,sarsa_sparse_lambda0.7_seed17944,17944,success,14.819,,results/models/sarsa/sarsa_sparse_lambda0.7_seed17944.json
2026-08-05 01:50:00,sarsa_lambda,sarsa_sparse_lambda0.9_seed81150,81150,success,16.166,,results/models/sarsa/sarsa_sparse_lambda0.9_seed81150.json
2026-08-05 01:50:17,sarsa_lambda,sarsa_sparse_lambda0.9_seed8565,8565,success,17.003,,results/models/sarsa/sarsa_sparse_lambda0.9_seed8565.json
2026-08-05 01:50:34,sarsa_lambda,sarsa_sparse_lambda0.9_seed17944,17944,success,16.522,,results/models/sarsa/sarsa_sparse_lambda0.9_seed17944.json
2026-08-05 01:49:28,sarsa_lambda,sarsa_sparse_lambda0.0_seed81150,81150,success,6.998,,results/models/sarsa/sarsa_sparse_lambda0.0_seed81150.json
2026-08-05 01:49:35,sarsa_lambda,sarsa_sparse_lambda0.0_seed8565,8565,success,6.951,,results/models/sarsa/sarsa_sparse_lambda0.0_seed8565.json
2026-08-05 01:49:41,sarsa_lambda,sarsa_sparse_lambda0.0_seed17944,17944,success,6.628,,results/models/sarsa/sarsa_sparse_lambda0.0_seed17944.json
2026-08-05 01:49:52,sarsa_lambda,sarsa_sparse_lambda0.3_seed81150,81150,success,10.232,,results/models/sarsa/sarsa_sparse_lambda0.3_seed81150.json
2026-08-05 01:50:02,sarsa_lambda,sarsa_sparse_lambda0.3_seed8565,8565,success,10.413,,results/models/sarsa/sarsa_sparse_lambda0.3_seed8565.json
2026-08-05 01:50:12,sarsa_lambda,sarsa_sparse_lambda0.3_seed17944,17944,success,9.879,,results/models/sarsa/sarsa_sparse_lambda0.3_seed17944.json
2026-08-05 01:50:27,sarsa_lambda,sarsa_sparse_lambda0.7_seed81150,81150,success,14.891,,results/models/sarsa/sarsa_sparse_lambda0.7_seed81150.json
2026-08-05 01:50:41,sarsa_lambda,sarsa_sparse_lambda0.7_seed8565,8565,success,14.022,,results/models/sarsa/sarsa_sparse_lambda0.7_seed8565.json
2026-08-05 01:50:54,sarsa_lambda,sarsa_sparse_lambda0.7_seed17944,17944,success,12.768,,results/models/sarsa/sarsa_sparse_lambda0.7_seed17944.json
2026-08-05 01:51:08,sarsa_lambda,sarsa_sparse_lambda0.9_seed81150,81150,success,14.459,,results/models/sarsa/sarsa_sparse_lambda0.9_seed81150.json
2026-08-05 01:51:22,sarsa_lambda,sarsa_sparse_lambda0.9_seed8565,8565,success,14.28,,results/models/sarsa/sarsa_sparse_lambda0.9_seed8565.json
2026-08-05 01:51:37,sarsa_lambda,sarsa_sparse_lambda0.9_seed17944,17944,success,14.416,,results/models/sarsa/sarsa_sparse_lambda0.9_seed17944.json
