gamma,iterations,runtime_seconds,converged,v_start,eval_success_rate,eval_mean_return,eval_mean_steps
0.9,83,910.1657867431641,True,7.467480662212103,1.0,203.63,38.77
0.95,92,987.4000232219696,True,36.627312760425895,1.0,203.65,38.75
0.99,101,1057.8776760101318,True,142.96911560099903,1.0,203.78,38.74
