episode_idx,total_reward,steps,success,wall_hits,penalty_entries,door_attempts,key_pickup_step,goal_reached_step,termination_reason,epsilon_final,lambda
61,-96.0,60,False,9,0,0,,,energy_depleted,0.736559652908221,0.7
62,-124.0,60,False,16,0,0,,,energy_depleted,0.7328768546436799,0.7
63,-96.0,60,False,9,0,0,,,energy_depleted,0.7292124703704614,0.7
64,-116.0,60,False,14,0,0,,,energy_depleted,0.7255664080186092,0.7
65,-108.0,60,False,12,0,0,,,energy_depleted,0.7219385759785161,0.7
66,-116.0,60,False,9,2,0,,,energy_depleted,0.7183288830986235,0.7
67,-92.0,60,False,8,0,0,,,energy_depleted,0.7147372386831304,0.7
68,-120.0,60,False,15,0,0,,,energy_depleted,0.7111635524897147,0.7
69,-138.0,60,False,17,1,0,,,energy_depleted,0.7076077347272661,0.7
70,-88.0,60,False,7,0,0,,,energy_depleted,0.7040696960536298,0.7
71,-84.0,60,False,6,0,0,,,energy_depleted,0.7005493475733616,0.7
72,-80.0,60,False,5,0,0,,,energy_depleted,0.6970466008354949,0.7
73,-88.0,60,False,7,0,0,,,energy_depleted,0.6935613678313174,0.7
74,-160.0,60,False,20,2,0,,,energy_depleted,0.6900935609921608,0.7
75,-92.0,60,False,8,0,0,,,energy_depleted,0.6866430931872,0.7
76,-104.0,60,False,11,0,0,,,energy_depleted,0.683209877721264,0.7
77,-116.0,60,False,9,2,0,,,energy_depleted,0.6797938283326577,0.7
78,-100.0,60,False,10,0,0,,,energy_depleted,0.6763948591909944,0.7
79,-80.0,60,False,5,0,0,,,energy_depleted,0.6730128848950394,0.7
80,-104.0,60,False,11,0,0,,,energy_depleted,0.6696478204705641,0.7
81,-96.0,60,False,9,0,0,,,energy_depleted,0.6662995813682113,0.7
82,-148.0,60,False,12,4,0,,,energy_depleted,0.6629680834613703,0.7
83,-124.0,60,False,16,0,0,,,energy_depleted,0.6596532430440635,0.7
84,-104.0,60,False,11,0,0,,,energy_depleted,0.6563549768288431,0.7
85,-100.0,60,False,10,0,0,,,energy_depleted,0.6530732019446989,0.7
86,-96.0,60,False,9,0,0,,,energy_depleted,0.6498078359349754,0.7
87,-88.0,60,False,7,0,0,,,energy_depleted,0.6465587967553006,0.7
88,-116.0,60,False,14,0,0,,,energy_depleted,0.6433260027715241,0.7
89,-112.0,60,False,13,0,0,,,energy_depleted,0.6401093727576664,0.7
90,-120.0,60,False,15,0,0,,,energy_depleted,0.6369088258938781,0.7
91,-166.0,60,False,9,7,0,,,energy_depleted,0.6337242817644086,0.7
92,-90.0,60,False,5,1,0,,,energy_depleted,0.6305556603555866,0.7
93,-100.0,60,False,10,0,0,,,energy_depleted,0.6274028820538087,0.7
94,-84.0,60,False,6,0,0,,,energy_depleted,0.6242658676435396,0.7
95,-74.0,60,False,11,2,0,40,,energy_depleted,0.6211445383053219,0.7
96,-116.0,60,False,14,0,0,,,energy_depleted,0.6180388156137954,0.7
97,-108.0,60,False,12,0,0,,,energy_depleted,0.6149486215357264,0.7
98,-88.0,60,False,7,0,0,,,energy_depleted,0.6118738784280477,0.7
99,-144.0,60,False,21,0,0,,,energy_depleted,0.6088145090359075,0.7
100,-80.0,60,False,5,0,0,,,energy_depleted,0.6057704364907279,0.7
101,-88.0,60,False,7,0,0,,,energy_depleted,0.6027415843082743,0.7
102,-84.0,60,False,6,0,0,,,energy_depleted,0.599727876386733,0.7
103,-100.0,60,False,10,0,0,,,energy_depleted,0.5967292370047993,0.7
104,-108.0,60,False,12,0,0,,,energy_depleted,0.5937455908197753,0.7
105,-144.0,60,False,16,2,0,,,energy_depleted,0.5907768628656764,0.7
106,-108.0,60,False,12,0,0,,,energy_depleted,0.587822978551348,0.7
107,-104.0,60,False,11,0,0,,,energy_depleted,0.5848838636585912,0.7
108,-130.0,60,False,10,3,0,,,energy_depleted,0.5819594443402983,0.7
109,-76.0,60,False,4,0,0,,,energy_depleted,0.5790496471185969,0.7
110,-82.0,60,False,13,2,0,43,,energy_depleted,0.5761543988830038,0.7
111,-126.0,60,False,14,1,0,,,energy_depleted,0.5732736268885888,0.7
112,-136.0,60,False,19,0,0,,,energy_depleted,0.5704072587541459,0.7
113,-104.0,60,False,11,0,0,,,energy_depleted,0.5675552224603752,0.7
114,-96.0,60,False,9,0,0,,,energy_depleted,0.5647174463480732,0.7
115,-166.0,60,False,14,5,0,,,energy_depleted,0.5618938591163328,0.7
116,-112.0,60,False,13,0,0,,,energy_depleted,0.5590843898207511,0.7
117,-108.0,60,False,12,0,0,,,energy_depleted,0.5562889678716475,0.7
118,-104.0,60,False,11,0,0,,,energy_depleted,0.5535075230322892,0.7
119,-96.0,60,False,9,0,0,,,energy_depleted,0.5507399854171278,0.7
120,-172.0,60,False,18,4,0,,,energy_depleted,0.5479862854900421,0.7
121,-92.0,60,False,8,0,0,,,energy_depleted,0.5452463540625919,0.7
122,-100.0,60,False,10,0,0,,,energy_depleted,0.542520122292279,0.7
123,-96.0,60,False,9,0,0,,,energy_depleted,0.5398075216808176,0.7
124,-72.0,60,False,3,0,0,,,energy_depleted,0.5371084840724134,0.7
125,-114.0,60,False,11,1,0,,,energy_depleted,0.5344229416520514,0.7
126,-108.0,60,False,12,0,0,,,energy_depleted,0.5317508269437912,0.7
127,-84.0,60,False,6,0,0,,,energy_depleted,0.5290920728090721,0.7
128,-112.0,60,False,13,0,0,,,energy_depleted,0.5264466124450268,0.7
129,-100.0,60,False,10,0,0,,,energy_depleted,0.5238143793828016,0.7
130,-136.0,60,False,19,0,0,,,energy_depleted,0.5211953074858876,0.7
131,-112.0,60,False,13,0,0,,,energy_depleted,0.5185893309484582,0.7
132,-128.0,60,False,17,0,0,,,energy_depleted,0.515996384293716,0.7
133,-100.0,60,False,10,0,0,,,energy_depleted,0.5134164023722474,0.7
134,-84.0,60,False,6,0,0,,,energy_depleted,0.5108493203603861,0.7
135,-92.0,60,False,8,0,0,,,energy_depleted,0.5082950737585842,0.7
136,-100.0,60,False,10,0,0,,,energy_depleted,0.5057535983897913,0.7
137,-158.0,60,False,12,5,0,,,energy_depleted,0.5032248303978423,0.7
138,-100.0,60,False,10,0,0,,,energy_depleted,0.5007087062458531,0.7
139,-104.0,60,False,11,0,0,,,energy_depleted,0.4982051627146238,0.7
140,-104.0,60,False,11,0,0,,,energy_depleted,0.4957141369010507,0.7
141,-124.0,60,False,11,2,0,,,energy_depleted,0.4932355662165454,0.7
142,-116.0,60,False,14,0,0,,,energy_depleted,0.4907693883854627,0.7
143,-100.0,60,False,10,0,0,,,energy_depleted,0.4883155414435354,0.7
144,-100.0,60,False,10,0,0,,,energy_depleted,0.4858739637363177,0.7
145,-92.0,60,False,8,0,0,,,energy_depleted,0.4834445939176361,0.7
146,-96.0,60,False,9,0,0,,,energy_depleted,0.4810273709480479,0.7
147,-80.0,60,False,5,0,0,,,energy_depleted,0.4786222340933077,0.7
148,-80.0,60,False,5,0,0,,,energy_depleted,0.47622912292284114,0.7
149,-92.0,60,False,8,0,0,,,energy_depleted,0.4738479773082269,0.7
150,-116.0,60,False,14,0,0,,,energy_depleted,0.4714787374216858,0.7
151,-84.0,60,False,6,0,0,,,energy_depleted,0.46912134373457737,0.7
152,-116.0,60,False,14,0,0,,,energy_depleted,0.46677573701590447,0.7
153,-120.0,60,False,15,0,0,,,energy_depleted,0.46444185833082496,0.7
154,-116.0,60,False,14,0,0,,,energy_depleted,0.46211964903917085,0.7
155,-96.0,60,False,9,0,0,,,energy_depleted,0.459809050793975,0.7
156,-76.0,60,False,4,0,0,,,energy_depleted,0.4575100055400051,0.7
157,-92.0,60,False,8,0,0,,,energy_depleted,0.45522245551230506,0.7
158,-72.0,60,False,3,0,0,,,energy_depleted,0.45294634323474353,0.7
159,-124.0,60,False,11,2,0,,,energy_depleted,0.45068161151856984,0.7
160,-78.0,60,False,2,1,0,,,energy_depleted,0.44842820346097695,0.7
161,-68.0,60,False,2,0,0,,,energy_depleted,0.4461860624436721,0.7
162,-76.0,60,False,4,0,0,,,energy_depleted,0.4439551321314537,0.7
163,-76.0,60,False,4,0,0,,,energy_depleted,0.4417353564707965,0.7
164,-92.0,60,False,3,2,0,,,energy_depleted,0.43952667968844245,0.7
165,-80.0,60,False,5,0,0,,,energy_depleted,0.43732904629000025,0.7
166,-112.0,60,False,13,0,0,,,energy_depleted,0.43514240105855023,0.7
167,-88.0,60,False,7,0,0,,,energy_depleted,0.4329666890532575,0.7
168,-88.0,60,False,7,0,0,,,energy_depleted,0.4308018556079912,0.7
169,-116.0,60,False,4,4,0,,,energy_depleted,0.42864784632995123,0.7
170,-80.0,60,False,5,0,0,,,energy_depleted,0.4265046070983015,0.7
171,-84.0,60,False,6,0,0,,,energy_depleted,0.42437208406280996,0.7
172,-112.0,60,False,8,2,0,,,energy_depleted,0.4222502236424959,0.7
173,-76.0,60,False,4,0,0,,,energy_depleted,0.42013897252428345,0.7
174,-100.0,60,False,10,0,0,,,energy_depleted,0.418038277661662,0.7
175,-108.0,60,False,12,0,0,,,energy_depleted,0.4159480862733537,0.7
176,-94.0,60,False,6,1,0,,,energy_depleted,0.41386834584198695,0.7
177,-76.0,60,False,4,0,0,,,energy_depleted,0.41179900411277703,0.7
178,-78.0,60,False,2,1,0,,,energy_depleted,0.40974000909221314,0.7
179,-86.0,60,False,4,1,0,,,energy_depleted,0.40769130904675205,0.7
180,-64.0,60,False,1,0,0,,,energy_depleted,0.4056528525015183,0.7
181,-90.0,60,False,5,1,0,,,energy_depleted,0.4036245882390107,0.7
182,-76.0,60,False,4,0,0,,,energy_depleted,0.40160646529781563,0.7
183,-116.0,60,False,4,4,0,,,energy_depleted,0.3995984329713266,0.7
184,-130.0,60,False,15,1,0,,,energy_depleted,0.39760044080646995,0.7
185,-112.0,60,False,8,2,0,,,energy_depleted,0.39561243860243755,0.7
186,-108.0,60,False,7,2,0,,,energy_depleted,0.3936343764094254,0.7
187,-120.0,60,False,15,0,0,,,energy_depleted,0.39166620452737827,0.7
188,-124.0,60,False,6,4,0,,,energy_depleted,0.3897078735047414,0.7
189,-96.0,60,False,9,0,0,,,energy_depleted,0.38775933413721764,0.7
190,-100.0,60,False,10,0,0,,,energy_depleted,0.38582053746653155,0.7
191,-64.0,60,False,1,0,0,,,energy_depleted,0.3838914347791989,0.7
192,-72.0,60,False,3,0,0,,,energy_depleted,0.38197197760530294,0.7
193,-146.0,60,False,9,5,0,,,energy_depleted,0.3800621177172764,0.7
194,-108.0,60,False,12,0,0,,,energy_depleted,0.37816180712869,0.7
195,-120.0,60,False,15,0,0,,,energy_depleted,0.37627099809304654,0.7
196,-104.0,60,False,11,0,0,,,energy_depleted,0.3743896431025813,0.7
197,-172.0,60,False,28,0,0,,,energy_depleted,0.37251769488706843,0.7
198,-80.0,60,False,5,0,0,,,energy_depleted,0.37065510641263305,0.7
199,-104.0,60,False,11,0,0,,,energy_depleted,0.3688018308805699,0.7
200,-136.0,60,False,19,0,0,,,energy_depleted,0.36695782172616703,0.7
201,-68.0,60,False,2,0,0,,,energy_depleted,0.3651230326175362,0.7
202,-76.0,60,False,4,0,0,,,energy_depleted,0.36329741745444855,0.7
203,-92.0,60,False,8,0,0,,,energy_depleted,0.3614809303671763,0.7
204,-76.0,60,False,4,0,0,,,energy_depleted,0.3596735257153404,0.7
205,-156.0,60,False,24,0,0,,,energy_depleted,0.35787515808676373,0.7
206,-102.0,60,False,8,1,0,,,energy_depleted,0.35608578229632987,0.7
207,-120.0,60,False,10,2,0,,,energy_depleted,0.35430535338484825,0.7
208,-96.0,60,False,9,0,0,,,energy_depleted,0.352533826617924,0.7
209,-84.0,60,False,6,0,0,,,energy_depleted,0.3507711574848344,0.7
210,-120.0,60,False,10,2,0,,,energy_depleted,0.3490173016974102,0.7
211,-88.0,60,False,7,0,0,,,energy_depleted,0.34727221518892315,0.7
212,-84.0,60,False,6,0,0,,,energy_depleted,0.34553585411297855,0.7
213,-80.0,60,False,5,0,0,,,energy_depleted,0.34380817484241366,0.7
214,-80.0,60,False,5,0,0,,,energy_depleted,0.34208913396820156,0.7
215,-166.0,60,False,14,5,0,,,energy_depleted,0.34037868829836054,0.7
216,-156.0,60,False,24,0,0,,,energy_depleted,0.33867679485686875,0.7
217,-84.0,60,False,6,0,0,,,energy_depleted,0.33698341088258443,0.7
218,-120.0,60,False,15,0,0,,,energy_depleted,0.3352984938281715,0.7
219,-76.0,60,False,4,0,0,,,energy_depleted,0.33362200135903064,0.7
220,-68.0,60,False,2,0,0,,,energy_depleted,0.33195389135223546,0.7
221,-76.0,60,False,4,0,0,,,energy_depleted,0.3302941218954743,0.7
222,-76.0,60,False,4,0,0,,,energy_depleted,0.3286426512859969,0.7
223,-76.0,60,False,4,0,0,,,energy_depleted,0.32699943802956694,0.7
224,-104.0,60,False,11,0,0,,,energy_depleted,0.3253644408394191,0.7
225,-128.0,60,False,17,0,0,,,energy_depleted,0.323737618635222,0.7
226,-102.0,60,False,8,1,0,,,energy_depleted,0.3221189305420459,0.7
227,-160.0,60,False,25,0,0,,,energy_depleted,0.32050833588933564,0.7
228,-104.0,60,False,11,0,0,,,energy_depleted,0.31890579420988896,0.7
229,-88.0,60,False,7,0,0,,,energy_depleted,0.3173112652388395,0.7
230,-112.0,60,False,8,2,0,,,energy_depleted,0.3157247089126453,0.7
231,-84.0,60,False,6,0,0,,,energy_depleted,0.3141460853680821,0.7
232,-96.0,60,False,9,0,0,,,energy_depleted,0.31257535494124167,0.7
233,-108.0,60,False,12,0,0,,,energy_depleted,0.3110124781665355,0.7
234,-80.0,60,False,5,0,0,,,energy_depleted,0.3094574157757028,0.7
235,-100.0,60,False,10,0,0,,,energy_depleted,0.30791012869682427,0.7
236,-96.0,60,False,9,0,0,,,energy_depleted,0.30637057805334017,0.7
237,-54.0,60,False,6,2,0,33,,energy_depleted,0.3048387251630735,0.7
238,-100.0,60,False,10,0,0,,,energy_depleted,0.30331453153725807,0.7
239,-72.0,60,False,3,0,0,,,energy_depleted,0.3017979588795718,0.7
240,-124.0,60,False,16,0,0,,,energy_depleted,0.30028896908517394,0.7
241,-128.0,60,False,17,0,0,,,energy_depleted,0.2987875242397481,0.7
242,-114.0,60,False,21,2,0,26,,energy_depleted,0.2972935866185493,0.7
243,-80.0,60,False,5,0,0,,,energy_depleted,0.29580711868545656,0.7
244,-84.0,60,False,6,0,0,,,energy_depleted,0.2943280830920293,0.7
245,-56.0,60,False,9,1,0,33,,energy_depleted,0.29285644267656913,0.7
246,-152.0,60,False,18,2,0,,,energy_depleted,0.2913921604631863,0.7
247,-116.0,60,False,19,3,0,26,,energy_depleted,0.2899351996608704,0.7
248,-72.0,60,False,3,0,0,,,energy_depleted,0.288485523662566,0.7
249,-78.0,60,False,2,1,0,,,energy_depleted,0.2870430960442532,0.7
250,-88.0,60,False,7,0,0,,,energy_depleted,0.2856078805640319,0.7
251,-96.0,60,False,4,2,0,,,energy_depleted,0.28417984116121175,0.7
252,-68.0,60,False,2,0,0,,,energy_depleted,0.2827589419554057,0.7
253,-78.0,60,False,12,2,0,37,,energy_depleted,0.28134514724562865,0.7
254,-76.0,60,False,4,0,0,,,energy_depleted,0.2799384215094005,0.7
255,-104.0,60,False,11,0,0,,,energy_depleted,0.27853872940185354,0.7
256,-88.0,60,False,7,0,0,,,energy_depleted,0.27714603575484426,0.7
257,-96.0,60,False,9,0,0,,,energy_depleted,0.27576030557607,0.7
258,-88.0,60,False,7,0,0,,,energy_depleted,0.2743815040481897,0.7
259,-108.0,60,False,17,3,0,26,,energy_depleted,0.2730095965279487,0.7
260,-76.0,60,False,4,0,0,,,energy_depleted,0.271644548545309,0.7
261,-88.0,60,False,7,0,0,,,energy_depleted,0.27028632580258244,0.7
262,-40.0,60,False,5,1,0,40,,energy_depleted,0.2689348941735695,0.7
263,-124.0,60,False,21,3,0,33,,energy_depleted,0.2675902197027017,0.7
264,-84.0,60,False,6,0,0,,,energy_depleted,0.26625226860418816,0.7
265,-80.0,60,False,5,0,0,,,energy_depleted,0.26492100726116724,0.7
266,-108.0,60,False,12,0,0,,,energy_depleted,0.26359640222486136,0.7
267,-68.0,60,False,12,1,0,26,,energy_depleted,0.2622784202137371,0.7
268,-92.0,60,False,8,0,0,,,energy_depleted,0.26096702811266836,0.7
269,-106.0,60,False,19,2,0,26,,energy_depleted,0.259662192972105,0.7
270,-142.0,60,False,13,3,0,,,energy_depleted,0.2583638820072445,0.7
271,-96.0,60,False,9,0,0,,,energy_depleted,0.2570720625972083,0.7
272,-96.0,60,False,9,0,0,,,energy_depleted,0.25578670228422223,0.7
273,-106.0,60,False,9,1,0,,,energy_depleted,0.2545077687728011,0.7
274,-136.0,60,False,19,0,0,,,energy_depleted,0.25323522992893716,0.7
275,-76.0,60,False,4,0,0,,,energy_depleted,0.25196905377929246,0.7
276,-80.0,60,False,5,0,0,,,energy_depleted,0.25070920851039596,0.7
277,-96.0,60,False,19,1,0,26,,energy_depleted,0.249455662467844,0.7
278,-128.0,60,False,17,5,0,26,,energy_depleted,0.24820838415550478,0.7
279,-18.0,60,False,2,0,0,33,,energy_depleted,0.24696734223472724,0.7
280,-72.0,60,False,3,0,0,,,energy_depleted,0.2457325055235536,0.7
281,-52.0,60,False,8,1,0,26,,energy_depleted,0.24450384299593586,0.7
282,-96.0,60,False,9,0,0,,,energy_depleted,0.24328132378095618,0.7
283,-76.0,60,False,4,0,0,,,energy_depleted,0.2420649171620514,0.7
284,-70.0,60,False,10,2,0,37,,energy_depleted,0.24085459257624112,0.7
285,-108.0,60,False,12,0,0,,,energy_depleted,0.23965031961335992,0.7
286,-126.0,60,False,14,1,0,,,energy_depleted,0.23845206801529312,0.7
287,-72.0,60,False,3,0,0,,,energy_depleted,0.23725980767521665,0.7
288,-90.0,60,False,5,1,0,,,energy_depleted,0.23607350863684057,0.7
289,-18.0,60,False,2,0,0,48,,energy_depleted,0.23489314109365636,0.7
290,-26.0,60,False,4,0,0,59,,energy_depleted,0.23371867538818808,0.7
291,-88.0,60,False,7,0,0,,,energy_depleted,0.23255008201124713,0.7
292,-34.0,60,False,6,0,0,33,,energy_depleted,0.2313873316011909,0.7
293,-66.0,60,False,9,2,0,36,,energy_depleted,0.23023039494318495,0.7
294,-72.0,60,False,3,0,0,,,energy_depleted,0.22907924296846902,0.7
295,-120.0,60,False,15,0,0,,,energy_depleted,0.22793384675362668,0.7
296,-68.0,60,False,2,0,0,,,energy_depleted,0.22679417751985856,0.7
297,-62.0,60,False,8,2,0,40,,energy_depleted,0.22566020663225925,0.7
298,-64.0,60,False,1,0,0,,,energy_depleted,0.22453190559909794,0.7
299,-112.0,60,False,13,5,0,26,,energy_depleted,0.22340924607110246,0.7
300,-84.0,60,False,6,0,0,,,energy_depleted,0.22229219984074694,0.7
301,-52.0,60,False,8,1,0,37,,energy_depleted,0.2211807388415432,0.7
302,-86.0,60,False,4,1,0,,,energy_depleted,0.2200748351473355,0.7
303,-76.0,60,False,4,0,0,,,energy_depleted,0.2189744609715988,0.7
304,-56.0,60,False,4,3,0,27,,energy_depleted,0.21787958866674081,0.7
305,-80.0,60,False,5,0,0,,,energy_depleted,0.2167901907234071,0.7
306,-114.0,60,False,11,1,0,,,energy_depleted,0.2157062397697901,0.7
307,-40.0,60,False,5,1,0,41,,energy_depleted,0.21462770857094113,0.7
308,-88.0,60,False,7,0,0,,,energy_depleted,0.21355457002808642,0.7
309,-62.0,60,False,13,0,0,26,,energy_depleted,0.212486797177946,0.7
310,-70.0,60,False,10,2,0,26,,energy_depleted,0.21142436319205626,0.7
311,-136.0,60,False,19,0,0,,,energy_depleted,0.21036724137609597,0.7
312,-74.0,60,False,11,2,0,26,,energy_depleted,0.20931540516921548,0.7
313,-80.0,60,False,5,0,0,,,energy_depleted,0.20826882814336942,0.7
314,-96.0,60,False,9,0,0,,,energy_depleted,0.20722748400265256,0.7
315,-88.0,60,False,12,3,0,26,,energy_depleted,0.2061913465826393,0.7
316,-84.0,60,False,11,3,0,26,,energy_depleted,0.20516038984972612,0.7
317,-70.0,60,False,15,0,0,26,,energy_depleted,0.20413458790047748,0.7
318,-88.0,60,False,7,0,0,,,energy_depleted,0.20311391496097508,0.7
319,-76.0,60,False,4,0,0,,,energy_depleted,0.20209834538617022,0.7
320,-72.0,60,False,13,1,0,29,,energy_depleted,0.20108785365923937,0.7
321,-60.0,60,False,5,3,0,27,,energy_depleted,0.20008241439094315,0.7
322,-96.0,60,False,9,0,0,,,energy_depleted,0.19908200231898845,0.7
323,-80.0,60,False,5,0,0,,,energy_depleted,0.1980865923073935,0.7
324,-100.0,60,False,10,0,0,,,energy_depleted,0.19709615934585653,0.7
325,-68.0,60,False,2,0,0,,,energy_depleted,0.19611067854912725,0.7
326,-82.0,60,False,13,2,0,26,,energy_depleted,0.19513012515638162,0.7
327,-112.0,60,False,13,0,0,,,energy_depleted,0.1941544745305997,0.7
328,-30.0,60,False,5,0,0,59,,energy_depleted,0.1931837021579467,0.7
329,-72.0,60,False,3,0,0,,,energy_depleted,0.19221778364715697,0.7
330,-76.0,60,False,4,0,0,,,energy_depleted,0.19125669472892118,0.7
331,-86.0,60,False,9,4,0,26,,energy_depleted,0.19030041125527658,0.7
332,-80.0,60,False,5,0,0,,,energy_depleted,0.1893489091990002,0.7
333,-72.0,60,False,3,0,0,,,energy_depleted,0.1884021646530052,0.7
334,-46.0,60,False,9,0,0,26,,energy_depleted,0.18746015382974016,0.7
335,-80.0,60,False,10,3,0,37,,energy_depleted,0.18652285306059146,0.7
336,-30.0,60,False,5,0,0,26,,energy_depleted,0.18559023879528852,0.7
337,-104.0,60,False,11,0,0,,,energy_depleted,0.18466228760131206,0.7
338,-80.0,60,False,10,3,0,37,,energy_depleted,0.1837389761633055,0.7
339,-100.0,60,False,15,3,0,26,,energy_depleted,0.18282028128248898,0.7
340,-60.0,60,False,10,1,0,26,,energy_depleted,0.18190617987607652,0.7
341,-70.0,60,False,15,0,0,26,,energy_depleted,0.18099664897669615,0.7
342,-86.0,60,False,14,2,0,33,,energy_depleted,0.18009166573181265,0.7
343,-34.0,60,False,6,0,0,33,,energy_depleted,0.1791912074031536,0.7
